LSOA21CD,Formatted_Ward
E01000567,Brent - Northwick Park
E01000434,Bexley - Slade Green & Northend
E01000595,Brent - Stonebridge
E01000796,Bromley - Penge & Cator
E01000642,Brent - Willesden Green
E01000566,Brent - Northwick Park
E01000431,Bexley - Slade Green & Northend
E01000605,Brent - Stonebridge
E01000745,Bromley - Penge & Cator
E01000800,Bromley - Penge & Cator
E01000812,Bromley - Petts Wood & Knoll
E01000811,Bromley - Petts Wood & Knoll
E01000809,Bromley - Petts Wood & Knoll
E01000808,Bromley - Petts Wood & Knoll
E01000814,Bromley - Petts Wood & Knoll
E01000815,Bromley - Petts Wood & Knoll
E01000813,Bromley - Petts Wood & Knoll
E01000810,Bromley - Petts Wood & Knoll
E01000807,Bromley - Petts Wood & Knoll
E01032562,Bromley - Plaistow
E01000818,Bromley - Plaistow
E01000819,Bromley - Plaistow
E01000822,Bromley - Plaistow
E01000824,Bromley - Plaistow
E01000816,Bromley - Plaistow
E01000823,Bromley - Plaistow
E01032563,Bromley - Plaistow
E01000826,Bromley - Shortlands & Park Langley
E01000828,Bromley - Shortlands & Park Langley
E01000673,Bromley - Shortlands & Park Langley
E01000830,Bromley - Shortlands & Park Langley
E01000677,Bromley - Shortlands & Park Langley
E01000827,Bromley - Shortlands & Park Langley
E01000829,Bromley - Shortlands & Park Langley
E01000831,Bromley - Shortlands & Park Langley
E01000717,Bromley - Shortlands & Park Langley
E01000723,Bromley - St Mary Cray
E01000787,Bromley - St Mary Cray
E01000507,Brent - Willesden Green
E01000639,Brent - Willesden Green
E01000641,Brent - Willesden Green
E01000713,Bromley - Beckenham Town & Copers Cope
E01000715,Bromley - Beckenham Town & Copers Cope
E01000714,Bromley - Beckenham Town & Copers Cope
E01000718,Bromley - Beckenham Town & Copers Cope
E01000710,Bromley - Beckenham Town & Copers Cope
E01000712,Bromley - Beckenham Town & Copers Cope
E01000716,Bromley - Beckenham Town & Copers Cope
E01000711,Bromley - Beckenham Town & Copers Cope
E01000646,Bromley - Bickley & Sundridge
E01000649,Bromley - Bickley & Sundridge
E01000650,Bromley - Bickley & Sundridge
E01000648,Bromley - Bickley & Sundridge
E01000652,Bromley - Bickley & Sundridge
E01000645,Bromley - Bickley & Sundridge
E01000820,Bromley - Bickley & Sundridge
E01000647,Bromley - Bickley & Sundridge
E01000565,Brent - Northwick Park
E01000653,Bromley - Bickley & Sundridge
E01000433,Bexley - Slade Green & Northend
E01033937,Brent - Stonebridge
E01000603,Brent - Stonebridge
E01000596,Brent - Stonebridge
